					8		MB[s]	16			1024		
10155	434	10589	10155	0.02115625	434	0.000904167	8.847926267	843	0.00175625	9.110320285	52261	0.108877083	9.405101318
10155	435	10590	10155	0.02115625	435	0.00090625	8.827586207	844	0.001758333	9.099526066	52260	0.108875	9.405281286
10155	435	10590	10155	0.02115625	435	0.00090625	8.827586207	844	0.001758333	9.099526066	52261	0.108877083	9.405101318
10155	435	10590	10155	0.02115625	435	0.00090625	8.827586207	844	0.001758333	9.099526066	52261	0.108877083	9.405101318
10155	435	10590	10155	0.02115625	435	0.00090625	8.827586207	844	0.001758333	9.099526066	52260	0.108875	9.405281286
10155	435	10590	10155	0.02115625	435	0.00090625	8.827586207	844	0.001758333	9.099526066	52260	0.108875	9.405281286
10155	435	10590	10155	0.02115625	435	0.00090625	8.827586207	844	0.001758333	9.099526066	52262	0.108879167	9.404921358
10155	435	10590	10155	0.02115625	435	0.00090625	8.827586207	844	0.001758333	9.099526066	52260	0.108875	9.405281286
10165	435	10600	10165	0.021177083	435	0.00090625	8.827586207	844	0.001758333	9.099526066	52261	0.108877083	9.405101318
10155	435	10590	10155	0.02115625	435	0.00090625	8.827586207	855	0.00178125	8.98245614	52260	0.108875	9.405281286
10167	435	10602	10167	0.02118125	435	0.00090625	8.827586207	844	0.001758333	9.099526066	52260	0.108875	9.405281286
10155	435	10590	10155	0.02115625	435	0.00090625	8.827586207	843	0.00175625	9.110320285	52260	0.108875	9.405281286
10166	435	10601	10166	0.021179167	435	0.00090625	8.827586207	844	0.001758333	9.099526066	52261	0.108877083	9.405101318
10155	435	10590	10155	0.02115625	435	0.00090625	8.827586207	844	0.001758333	9.099526066	52261	0.108877083	9.405101318
10166	435	10601	10166	0.021179167	435	0.00090625	8.827586207	844	0.001758333	9.099526066	52262	0.108879167	9.404921358
10155	435	10590	10155	0.02115625	435	0.00090625	8.827586207	844	0.001758333	9.099526066	52260	0.108875	9.405281286
10168	435	10603	10168	0.021183333	435	0.00090625	8.827586207	844	0.001758333	9.099526066	52261	0.108877083	9.405101318
10155	435	10590	10155	0.02115625	435	0.00090625	8.827586207	844	0.001758333	9.099526066	52262	0.108879167	9.404921358
10169	435	10604	10169	0.021185417	435	0.00090625	8.827586207	844	0.001758333	9.099526066	52260	0.108875	9.405281286
10155	435	10590	10155	0.02115625	435	0.00090625	8.827586207	844	0.001758333	9.099526066	52260	0.108875	9.405281286
10169	435	10604	10169	0.021185417	435	0.00090625	8.827586207	844	0.001758333	9.099526066	52272	0.1089	9.40312213
10155	435	10590	10155	0.02115625	435	0.00090625	8.827586207	844	0.001758333	9.099526066	52261	0.108877083	9.405101318
10168	435	10603	10168	0.021183333	435	0.00090625	8.827586207	844	0.001758333	9.099526066	52261	0.108877083	9.405101318
10155	435	10590	10155	0.02115625	435	0.00090625	8.827586207	844	0.001758333	9.099526066	52273	0.108902083	9.402942246
10169	435	10604	10169	0.021185417	435	0.00090625	8.827586207	844	0.001758333	9.099526066	52260	0.108875	9.405281286
10155	435	10590	10155	0.02115625	435	0.00090625	8.827586207	844	0.001758333	9.099526066	52260	0.108875	9.405281286
10168	435	10603	10168	0.021183333	435	0.00090625	8.827586207	844	0.001758333	9.099526066	52271	0.108897917	9.403302022
10155	435	10590	10155	0.02115625	435	0.00090625	8.827586207	844	0.001758333	9.099526066	52261	0.108877083	9.405101318
10167	435	10602	10167	0.02118125	435	0.00090625	8.827586207	844	0.001758333	9.099526066	52261	0.108877083	9.405101318
10155	435	10590	10155	0.02115625	435	0.00090625	8.827586207	844	0.001758333	9.099526066	52271	0.108897917	9.403302022
2	bloki												
10168	843	11011											
10155	844	10999											
10168	844	11012											
10155	844	10999											
10166	844	11010											
10155	844	10999											
10165	844	11009											
10155	844	10999											
10155	844	10999											
10155	855	11010											
10155	844	10999											
10155	843	10998											
10155	844	10999											
10166	844	11010											
10155	844	10999											
10167	844	11011											
10155	844	10999											
10167	844	11011											
10155	844	10999											
10168	844	11012											
10155	844	10999											
10167	844	11011											
10155	844	10999											
10168	844	11012											
10155	844	10999											
10168	844	11012											
10155	844	10999											
10168	844	11012											
10155	844	10999											
10168	844	11012											
1024													
10155	52261	62416											
10167	52260	62427											
10168	52261	62429											
10155	52261	62416											
10168	52260	62428											
10168	52260	62428											
10155	52262	62417											
10168	52260	62428											
10168	52261	62429											
10155	52260	62415											
10168	52260	62428											
10167	52260	62427											
10155	52261	62416											
10168	52261	62429											
10155	52262	62417											
10155	52260	62415											
10169	52261	62430											
10155	52262	62417											
10155	52260	62415											
10167	52260	62427											
10155	52272	62427											
10155	52261	62416											
10168	52261	62429											
10155	52273	62428											
10155	52260	62415											
10168	52260	62428											
10155	52271	62426											
10155	52261	62416											
10168	52261	62429											
10155	52271	62426											
