1 &	34 &	0.001 &	250 &	0.005 &	1.536 &	298 &	0.006 &	2.577 &	6220 &	0.130 &	7.902 \\ \hline
2 &	34	& 0.001	& 251	& 0.005 &	1.530 &	298 &	0.006 &	2.577 &	6230 &	0.130 &	7.890 \\ \hline
3 &	34	& 0.001	& 251	& 0.005 &	1.530 &	298 &	0.006 &	2.577 &	6219 &	0.130 &	7.904 \\ \hline
4 &	34	& 0.001	& 251	& 0.005 &	1.530 &	298 &	0.006 &	2.577 &	6219 &	0.130 &	7.904 \\ \hline
5 &	34	& 0.001	& 251	& 0.005 &	1.530 &	309 &	0.006 &	2.485 &	6230 &	0.130 &	7.890 \\ \hline
6 &	34	& 0.001	& 251	& 0.005 &	1.530 &	298 &	0.006 &	2.577 &	6219 &	0.130 &	7.904 \\ \hline
7 &	34	& 0.001	& 251	& 0.005 &	1.530 &	298 &	0.006 &	2.577 &	6219 &	0.130 &	7.904 \\ \hline
8 &	34	& 0.001	& 251	& 0.005 &	1.530 &	298 &	0.006 &	2.577 &	6219 &	0.130 &	7.904 \\ \hline
9 &	34	& 0.001	& 251	& 0.005 &	1.530 &	298 &	0.006 &	2.577 &	6229 &	0.130 &	7.891 \\ \hline
10 &	34	& 0.001	& 251	& 0.005 &	1.530 &	298 &	0.006 &	2.577 &	6219 &	0.130 &	7.904 \\ \hline
11 &	34	& 0.001	& 251	& 0.005 &	1.530 &	298 &	0.006 &	2.577 &	6219 &	0.130 &	7.904 \\ \hline
12 &	34	& 0.001	& 251	& 0.005 &	1.530 &	298 &	0.006 &	2.577 &	6230 &	0.130 &	7.890 \\ \hline
13 &	34	& 0.001	& 251	& 0.005 &	1.530 &	298 &	0.006 &	2.577 &	6219 &	0.130 &	7.904 \\ \hline
14 &	34	& 0.001	& 251	& 0.005 &	1.530 &	298 &	0.006 &	2.577 &	6219 &	0.130 &	7.904 \\ \hline
15 &	34	& 0.001	& 251	& 0.005 &	1.530 &	298 &	0.006 &	2.577 &	6230 &	0.130 &	7.890 \\ \hline
16 &	34	& 0.001	& 251	& 0.005 &	1.530 &	298 &	0.006 &	2.577 &	6219 &	0.130 &	7.904 \\ \hline
17 &	34	& 0.001	& 251	& 0.005 &	1.530 &	298 &	0.006 &	2.577 &	6219 &	0.130 &	7.904 \\ \hline
18 &	34	& 0.001	& 251	& 0.005 &	1.530 &	298 &	0.006 &	2.577 &	6230 &	0.130 &	7.890 \\ \hline
19 &	34	& 0.001	& 251	& 0.005 &	1.530 &	298 &	0.006 &	2.577 &	6219 &	0.130 &	7.904 \\ \hline
20 &	34	& 0.001	& 251	& 0.005 &	1.530 &	298 &	0.006 &	2.577 &	6219 &	0.130 &	7.904 \\ \hline
21 &	34	& 0.001	& 251	& 0.005 &	1.530 &	298 &	0.006 &	2.577 &	6219 &	0.130 &	7.904 \\ \hline
22 &	34	& 0.001	& 251	& 0.005 &	1.530 &	309 &	0.006 &	2.485 &	6220 &	0.130 &	7.902 \\ \hline
23 &	34	& 0.001	& 251	& 0.005 &	1.530 &	298 &	0.006 &	2.577 &	6219 &	0.130 &	7.904 \\ \hline
24 &	34	& 0.001	& 251	& 0.005 &	1.530 &	298 &	0.006 &	2.577 &	6219 &	0.130 &	7.904 \\ \hline
25 &	34	& 0.001	& 251	& 0.005 &	1.530 &	298 &	0.006 &	2.577 &	6230 &	0.130 &	7.890 \\ \hline
26 &	34	& 0.001	& 251	& 0.005 &	1.530 &	298 &	0.006 &	2.577 &	6219 &	0.130 &	7.904 \\ \hline
27 &	34	& 0.001	& 251	& 0.005 &	1.530 &	298 &	0.006 &	2.577 &	6219 &	0.130 &	7.904 \\ \hline
28 &	34	& 0.001	& 251	& 0.005 &	1.530 &	298 &	0.006 &	2.577 &	6230 &	0.130 &	7.890 \\ \hline
29 &	34	& 0.001	& 251	& 0.005 &	1.530 &	298 &	0.006 &	2.577 &	6219 &	0.130 &	7.904 \\ \hline
30 &	34	& 0.001	& 251	& 0.005 &	1.530 &	298 &	0.006 &	2.577 &	6219 &	0.130 &	7.904 \\ \hline
Średnia &	34	& 0.001	& 251	& 0.005 &	1.530 &	299 &	0.006 &	2.571 &	6222 &	0.130 &	7.900 \\ \hline

