45;92;117
44;92;117
45;92;117
45;92;117
45;92;117
44;92;117
44;92;117
44;92;117
45;92;117
45;92;117
44;92;117
44;92;117
44;92;117
44;92;117
45;92;117
45;92;117
45;92;117
45;92;117
44;92;117
44;92;117
45;92;117
45;92;117
45;92;117
45;92;117
45;92;117
44;92;117
45;92;117
45;92;117
45;92;117
45;92;117
Info : halted: PC: 0x080011ac
Sha Two blocks: 
45 157 116
45 157 116
45 157 116
44 157 116
45 157 116
45 157 116
44 157 116
44 157 116
44 157 116
44 157 116
44 157 116
44 157 116
45 157 116
44 157 116
44 157 116
44 157 116
45 157 116
44 157 116
45 157 116
44 157 116
44 157 116
44 157 117
44 157 116
44 157 116
44 157 116
45 157 116
44 157 116
45 157 116
45 157 116
45 157 116
Sha Two blocks: 
44 2122 116
44 2122 126
44 2122 116
44 2122 116
44 2122 116
44 2122 116
44 2122 116
44 2122 116
44 2122 116
44 2122 116
44 2122 116
44 2122 116
44 2122 116
44 2122 116
44 2122 116
44 2122 116
44 2122 116
44 2122 116
44 2122 116
44 2122 116
54 2122 116
44 2122 116
44 2122 116
44 2122 116
44 2122 116
44 2122 116
44 2122 116
44 2122 116
44 2122 116
44 2122 116
